주문ID,주문일자,고객ID,성별,연령,지역,유입채널,카테고리,상품명,단가,수량,할인율,결제방법,주문상태,평점
ORD00001,2023-01-01,CUST0100,남,52.0,대구,이메일,의류,티셔츠,,3,0.05,포인트,취소,
ORD00002,2023-01-01,CUST0080,남,35.0,경기,SNS,뷰티,립스틱,128000.0,1,0.0,계좌이체,배송완료,4.0
ORD00003,2023-01-01,CUST0045,여,29.0,제주,SNS,뷰티,스킨케어세트,34000.0,3,0.05,신용카드,배송중,
ORD00004,2023-01-02,CUST0141,남,35.0,인천,SNS,뷰티,선크림,30000.0,2,0.3,신용카드,배송완료,4.0
ORD00005,2023-01-04,CUST0136,남,37.0,서울,검색,생활용품,쿠션,17000.0,1,0.3,신용카드,배송완료,5.0
ORD00006,2023-01-05,CUST0100,남,50.0,광주,이메일,생활용품,조명,14000.0,2,0.3,신용카드,배송완료,4.0
ORD00007,2023-01-05,CUST0105,남,35.0,서울,SNS,의류,패딩,74000.0,1,0.2,신용카드,배송완료,
ORD00008,2023-01-06,CUST0068,남,34.0,인천,검색,의류,청바지,81000.0,1,0.0,간편결제,배송완료,4.0
ORD00009,2023-01-07,CUST0134,여,36.0,대전,직접방문,전자기기,이어폰,219000.0,2,0.3,간편결제,반품,
ORD00010,2023-01-07,CUST0009,남,37.0,제주,검색,의류,니트,18000.0,1,0.0,간편결제,배송완료,5.0
ORD00011,2023-01-08,CUST0073,남,46.0,서울,이메일,의류,니트,58000.0,2,0.0,계좌이체,배송완료,5.0
ORD00012,2023-01-08,CUST0063,여,34.0,제주,이메일,전자기기,이어폰,213000.0,1,0.3,간편결제,배송완료,4.0
ORD00013,2023-01-08,CUST0068,남,33.0,경기,검색,식품,건강즙,15000.0,2,0.1,포인트,배송완료,4.0
ORD00014,2023-01-08,CUST0071,여,31.0,서울,SNS,의류,니트,36000.0,1,0.1,계좌이체,배송완료,4.0
ORD00015,2023-01-08,CUST0017,여,19.0,경기,이메일,뷰티,선크림,142000.0,1,0.05,간편결제,배송완료,4.0
ORD00016,2023-01-08,CUST0155,여,38.0,서울,검색,의류,티셔츠,111000.0,2,0.2,간편결제,배송완료,4.0
ORD00017,2023-01-09,CUST0137,남,28.0,서울,검색,의류,니트,46000.0,1,0.0,간편결제,배송완료,4.0
ORD00018,2023-01-09,CUST0034,남,52.0,경기,제휴,전자기기,충전기,60000.0,3,0.1,신용카드,반품,
ORD00019,2023-01-10,CUST0171,남,35.0,서울,제휴,생활용품,조명,15000.0,2,0.05,신용카드,배송완료,5.0
ORD00020,2023-01-10,CUST0048,남,34.0,서울,SNS,의류,청바지,95000.0,3,0.1,포인트,배송완료,5.0
ORD00021,2023-01-10,CUST0178,여,40.0,부산,검색,식품,건강즙,61000.0,3,0.0,간편결제,취소,
ORD00022,2023-01-10,CUST0185,여,40.0,서울,이메일,전자기기,보조배터리,193000.0,2,0.05,신용카드,배송완료,4.0
ORD00023,2023-01-11,CUST0054,여,32.0,제주,SNS,생활용품,조명,13000.0,1,0.0,신용카드,배송중,
ORD00024,2023-01-11,CUST0001,여,56.0,인천,검색,전자기기,충전기,132000.0,2,0.2,신용카드,배송완료,4.0
ORD00025,2023-01-11,CUST0048,여,45.0,서울,제휴,전자기기,이어폰,124000.0,1,0.0,간편결제,배송완료,5.0
ORD00026,2023-01-11,CUST0200,남,31.0,서울,제휴,의류,원피스,45000.0,1,0.0,신용카드,배송완료,4.0
ORD00027,2023-01-12,CUST0058,남,19.0,서울,직접방문,의류,니트,86000.0,2,0.3,간편결제,배송완료,
ORD00028,2023-01-12,CUST0101,여,25.0,서울,검색,뷰티,마스크팩,147000.0,3,0.0,포인트,배송완료,5.0
ORD00029,2023-01-13,CUST0153,여,44.0,부산,SNS,생활용품,방향제,39000.0,2,0.1,계좌이체,배송완료,5.0
ORD00030,2023-01-13,CUST0121,여,18.0,부산,제휴,식품,건강즙,49000.0,3,0.0,포인트,배송완료,4.0
ORD00031,2023-01-13,CUST0188,여,43.0,서울,검색,생활용품,방향제,41000.0,1,0.15,계좌이체,배송완료,4.0
ORD00032,2023-01-13,CUST0155,남,37.0,경기,이메일,전자기기,보조배터리,274000.0,1,0.0,간편결제,반품,
ORD00033,2023-01-13,CUST0071,남,33.0,대전,검색,의류,패딩,72000.0,1,0.15,신용카드,배송중,
ORD00034,2023-01-15,CUST0092,여,34.0,제주,검색,생활용품,방향제,56000.0,1,0.0,포인트,배송완료,5.0
ORD00035,2023-01-15,CUST0158,여,37.0,경기,직접방문,의류,패딩,23000.0,1,0.1,신용카드,배송완료,4.0
ORD00036,2023-01-15,CUST0140,여,35.0,인천,검색,전자기기,보조배터리,203000.0,1,0.1,신용카드,배송완료,5.0
ORD00037,2023-01-15,CUST0028,여,37.0,서울,SNS,전자기기,충전기,60000.0,2,0.05,신용카드,배송완료,4.0
ORD00038,2023-01-15,CUST0031,여,27.0,경기,검색,식품,차세트,75000.0,1,0.0,간편결제,반품,
ORD00039,2023-01-15,CUST0172,여,27.0,세종,SNS,의류,니트,49000.0,2,0.1,간편결제,배송중,
ORD00040,2023-01-16,CUST0035,여,43.0,부산,검색,의류,니트,46000.0,1,0.1,신용카드,배송완료,5.0
ORD00041,2023-01-16,CUST0082,여,40.0,경기,이메일,뷰티,스킨케어세트,16000.0,2,0.05,신용카드,배송완료,5.0
ORD00042,2023-01-16,CUST0027,여,38.0,제주,SNS,뷰티,선크림,90000.0,3,0.0,신용카드,취소,
ORD00043,2023-01-16,CUST0194,여,27.0,경기,직접방문,뷰티,선크림,88000.0,3,0.1,계좌이체,배송완료,3.0
ORD00044,2023-01-16,CUST0016,여,48.0,서울,검색,식품,차세트,56000.0,2,0.0,신용카드,반품,
ORD00045,2023-01-16,CUST0143,남,37.0,경기,SNS,생활용품,수건세트,26000.0,2,0.2,신용카드,배송완료,5.0
ORD00046,2023-01-17,CUST0125,남,18.0,서울,직접방문,전자기기,충전기,324000.0,1,0.0,계좌이체,취소,
ORD00047,2023-01-18,CUST0036,남,42.0,대전,직접방문,전자기기,스피커,230000.0,3,0.0,간편결제,배송완료,4.0
ORD00048,2023-01-18,CUST0046,여,51.0,서울,검색,생활용품,텀블러,14000.0,1,0.2,신용카드,배송완료,4.0
ORD00049,2023-01-18,CUST0037,남,25.0,서울,검색,뷰티,향수,120000.0,3,0.1,간편결제,취소,
ORD00050,2023-01-18,CUST0129,여,48.0,경기,검색,전자기기,보조배터리,261000.0,3,0.1,계좌이체,배송완료,4.0
ORD00051,2023-01-19,CUST0141,여,38.0,서울,제휴,뷰티,향수,140000.0,1,0.1,신용카드,배송완료,4.0
ORD00052,2023-01-19,CUST0076,여,31.0,대전,SNS,생활용품,쿠션,14000.0,1,0.0,간편결제,취소,
ORD00053,2023-01-19,CUST0068,여,32.0,제주,제휴,의류,원피스,43000.0,1,0.0,신용카드,배송완료,4.0
ORD00054,2023-01-19,CUST0140,남,37.0,경기,검색,식품,건강즙,58000.0,3,0.2,신용카드,배송완료,5.0
ORD00055,2023-01-19,CUST0085,여,44.0,세종,SNS,뷰티,향수,77000.0,1,0.0,신용카드,배송완료,5.0
ORD00056,2023-01-20,CUST0178,남,,경기,검색,의류,청바지,56000.0,1,0.15,간편결제,배송완료,5.0
ORD00057,2023-01-20,CUST0033,여,37.0,광주,검색,전자기기,스피커,169000.0,3,0.1,간편결제,배송완료,5.0
ORD00058,2023-01-20,CUST0155,여,36.0,인천,검색,식품,커피세트,27000.0,3,0.0,신용카드,배송중,
ORD00059,2023-01-20,CUST0196,여,27.0,경기,직접방문,뷰티,립스틱,89000.0,2,0.1,간편결제,배송중,
ORD00060,2023-01-21,CUST0021,여,37.0,경기,직접방문,전자기기,스피커,97000.0,3,0.1,계좌이체,취소,
ORD00061,2023-01-22,CUST0153,남,39.0,서울,SNS,전자기기,보조배터리,188000.0,1,0.0,신용카드,배송완료,4.0
ORD00062,2023-01-22,CUST0168,남,36.0,서울,검색,전자기기,충전기,191000.0,2,0.2,간편결제,배송완료,4.0
ORD00063,2023-01-23,CUST0086,남,41.0,서울,이메일,의류,니트,85000.0,2,0.0,간편결제,배송완료,5.0
ORD00064,2023-01-23,CUST0075,여,38.0,부산,SNS,의류,니트,81000.0,1,0.2,신용카드,배송완료,4.0
ORD00065,2023-01-23,CUST0079,여,33.0,서울,이메일,뷰티,선크림,147000.0,1,0.2,간편결제,배송완료,4.0
ORD00066,2023-01-23,CUST0027,남,20.0,부산,직접방문,의류,청바지,115000.0,3,0.1,신용카드,배송완료,5.0
ORD00067,2023-01-23,CUST0109,남,28.0,제주,이메일,전자기기,충전기,339000.0,1,0.1,신용카드,취소,
ORD00068,2023-01-24,CUST0036,여,35.0,제주,제휴,의류,청바지,42000.0,1,0.3,신용카드,배송완료,5.0
ORD00069,2023-01-24,CUST0180,남,24.0,서울,검색,뷰티,선크림,149000.0,3,0.3,신용카드,배송완료,5.0
ORD00070,2023-01-25,CUST0053,남,28.0,서울,검색,전자기기,보조배터리,50000.0,2,0.2,신용카드,배송완료,5.0
ORD00071,2023-01-25,CUST0090,남,39.0,광주,직접방문,의류,패딩,28000.0,2,0.0,계좌이체,배송중,
ORD00072,2023-01-26,CUST0082,남,27.0,서울,이메일,생활용품,텀블러,56000.0,1,0.15,간편결제,배송완료,5.0
ORD00073,2023-01-26,CUST0145,여,32.0,세종,이메일,의류,원피스,61000.0,1,0.0,신용카드,배송완료,5.0
ORD00074,2023-01-26,CUST0038,남,60.0,부산,SNS,생활용품,조명,56000.0,1,0.0,포인트,배송완료,4.0
ORD00075,2023-01-26,CUST0004,남,20.0,부산,직접방문,식품,커피세트,46000.0,2,0.0,간편결제,배송완료,
ORD00076,2023-01-27,CUST0031,여,18.0,서울,직접방문,의류,니트,90000.0,2,0.15,간편결제,취소,
ORD00077,2023-01-27,CUST0193,남,24.0,경기,제휴,전자기기,보조배터리,37000.0,1,0.3,간편결제,배송완료,5.0
ORD00078,2023-01-27,CUST0009,여,43.0,경기,SNS,식품,건강즙,17000.0,1,0.0,간편결제,반품,
ORD00079,2023-01-28,CUST0110,여,44.0,서울,직접방문,의류,청바지,75000.0,1,0.2,신용카드,배송완료,4.0
ORD00080,2023-01-28,CUST0063,여,39.0,경기,SNS,의류,니트,67000.0,1,0.05,포인트,배송완료,5.0
ORD00081,2023-01-28,CUST0118,여,26.0,제주,SNS,전자기기,충전기,75000.0,1,0.2,계좌이체,배송완료,4.0
