주문번호,주문일자,고객ID,상품코드,수량
ORD00001,2024-01-02,C019,P001,3
ORD00002,2024-01-03,C028,P013,3
ORD00003,2024-01-04,C026,P002,3
ORD00004,2024-01-05,C037,P004,2
ORD00005,2024-01-06,C026,P014,2
ORD00006,2024-01-06,C023,P014,2
ORD00007,2024-01-07,C009,P008,1
ORD00008,2024-01-07,C012,P008,1
ORD00009,2024-01-08,C001,P006,1
ORD00010,2024-01-08,C001,P003,3
ORD00011,2024-01-08,C047,P004,2
ORD00012,2024-01-08,C034,P009,5
ORD00013,2024-01-09,C032,P010,1
ORD00014,2024-01-13,C048,P011,1
ORD00015,2024-01-13,C025,P011,2
ORD00016,2024-01-14,C040,P002,1
ORD00017,2024-01-14,C045,P007,1
ORD00018,2024-01-15,C001,P001,1
ORD00019,2024-01-15,C016,P007,2
ORD00020,2024-01-16,C039,P006,3
ORD00021,2024-01-16,C005,P013,1
ORD00022,2024-01-17,C022,P004,1
ORD00023,2024-01-17,C029,P002,3
ORD00024,2024-01-17,C003,P002,1
ORD00025,2024-01-17,C012,P010,1
ORD00026,2024-01-18,C026,P008,1
ORD00027,2024-01-18,C016,P002,2
ORD00028,2024-01-19,C037,P002,1
ORD00029,2024-01-19,C022,P010,5
ORD00030,2024-01-20,C029,P001,3
ORD00031,2024-01-20,C014,P011,1
ORD00032,2024-01-20,C028,P010,2
ORD00033,2024-01-21,C005,P002,3
ORD00034,2024-01-21,C047,P002,1
ORD00035,2024-01-22,C049,P015,1
ORD00036,2024-01-22,C030,P005,1
ORD00037,2024-01-23,C046,P005,2
ORD00038,2024-01-24,C005,P011,2
ORD00039,2024-01-24,C012,P014,1
ORD00040,2024-01-24,C016,P015,1
ORD00041,2024-01-24,C026,P010,5
ORD00042,2024-01-24,C026,P005,1
ORD00043,2024-01-25,C048,P002,1
ORD00044,2024-01-25,C021,P011,1
ORD00045,2024-01-25,C039,P007,1
ORD00046,2024-01-25,C036,P005,1
ORD00047,2024-01-26,C033,P013,5
ORD00048,2024-01-27,C030,P002,2
ORD00049,2024-01-27,C037,P007,1
ORD00050,2024-01-27,C023,P001,2
ORD00051,2024-01-28,C010,P006,2
ORD00052,2024-01-30,C005,P001,1
ORD00053,2024-01-30,C036,P002,2
ORD00054,2024-01-30,C034,P002,2
ORD00055,2024-01-30,C031,P009,1
ORD00056,2024-02-01,C010,P010,1
ORD00057,2024-02-01,C019,P008,5
ORD00058,2024-02-01,C032,P015,1
ORD00059,2024-02-02,C001,P005,1
ORD00060,2024-02-02,C005,P003,3
ORD00061,2024-02-02,C045,P012,1
ORD00062,2024-02-02,C004,P003,3
ORD00063,2024-02-02,C016,P015,3
ORD00064,2024-02-02,C024,P001,5
ORD00065,2024-02-04,C016,P015,3
ORD00066,2024-02-04,C002,P001,1
ORD00067,2024-02-05,C049,P013,2
ORD00068,2024-02-05,C028,P007,5
ORD00069,2024-02-06,C032,P015,5
ORD00070,2024-02-07,C027,P001,1
ORD00071,2024-02-07,C020,P007,5
ORD00072,2024-02-08,C024,P015,1
ORD00073,2024-02-09,C012,P007,5
ORD00074,2024-02-10,C050,P008,1
ORD00075,2024-02-11,C035,P009,1
ORD00076,2024-02-11,C033,P006,5
ORD00077,2024-02-12,C033,P008,1
ORD00078,2024-02-13,C043,P008,1
ORD00079,2024-02-14,C037,P013,2
ORD00080,2024-02-15,C012,P001,5
ORD00081,2024-02-15,C003,P003,1
ORD00082,2024-02-15,C001,P014,2
ORD00083,2024-02-16,C033,P013,1
ORD00084,2024-02-16,C040,P006,1
ORD00085,2024-02-17,C010,P008,1
ORD00086,2024-02-17,C043,P003,2
ORD00087,2024-02-17,C044,P002,2
ORD00088,2024-02-17,C029,P006,1
ORD00089,2024-02-18,C013,P004,1
ORD00090,2024-02-18,C012,P008,1
ORD00091,2024-02-19,C031,P001,2
ORD00092,2024-02-20,C046,P015,2
ORD00093,2024-02-20,C002,P015,2
ORD00094,2024-02-21,C050,P009,2
ORD00095,2024-02-21,C035,P007,1
ORD00096,2024-02-22,C023,P004,2
ORD00097,2024-02-22,C017,P011,1
ORD00098,2024-02-23,C026,P009,1
ORD00099,2024-02-23,C008,P002,1
ORD00100,2024-02-23,C029,P013,2
ORD00101,2024-02-23,C026,P011,1
ORD00102,2024-02-23,C010,P014,1
ORD00103,2024-02-24,C026,P010,2
ORD00104,2024-02-26,C034,P008,1
ORD00105,2024-02-27,C041,P005,2
ORD00106,2024-02-27,C007,P014,1
ORD00107,2024-02-27,C004,P012,1
ORD00108,2024-02-27,C050,P001,1
ORD00109,2024-02-28,C045,P001,1
ORD00110,2024-02-29,C011,P005,3
ORD00111,2024-02-29,C029,P011,1
ORD00112,2024-02-29,C036,P015,2
ORD00113,2024-02-29,C025,P002,3
ORD00114,2024-03-01,C021,P008,5
ORD00115,2024-03-01,C036,P005,2
ORD00116,2024-03-02,C010,P015,1
ORD00117,2024-03-03,C037,P012,3
ORD00118,2024-03-03,C009,P012,5
ORD00119,2024-03-03,C024,P006,2
ORD00120,2024-03-03,C035,P005,1
ORD00121,2024-03-04,C049,P003,1
ORD00122,2024-03-04,C035,P001,1
ORD00123,2024-03-05,C048,P012,1
ORD00124,2024-03-06,C036,P011,5
ORD00125,2024-03-06,C018,P015,1
ORD00126,2024-03-06,C049,P015,1
ORD00127,2024-03-07,C039,P007,2
ORD00128,2024-03-07,C032,P010,1
ORD00129,2024-03-07,C024,P014,3
ORD00130,2024-03-08,C023,P012,3
ORD00131,2024-03-08,C032,P003,3
ORD00132,2024-03-09,C037,P006,5
ORD00133,2024-03-10,C012,P002,2
ORD00134,2024-03-12,C049,P014,2
ORD00135,2024-03-15,C013,P008,1
ORD00136,2024-03-16,C023,P003,1
ORD00137,2024-03-16,C025,P009,3
