주문ID,주문일시,고객ID,가게ID,메뉴,주문금액,수량,배달소요시간(분),결제방법,쿠폰사용여부,평점,주문상태
ORD00001,2024-10-29 12:34:52,CUST0171,STR029,깐풍기,7300,1,56.0,카드,N,4.0,배달완료
ORD00002,2024-07-04 19:04:00,CUST0024,STR094,오돌뼈,25400,1,31.0,간편결제,N,,배달완료
ORD00003,2024-08-03 19:00:58,CUST0425,STR024,닭볶음탕,33200,1,43.0,카드,N,,배달중
ORD00004,2024-04-01 17:15:20,CUST0208,STR037,된장찌개,9000,2,35.0,카드,N,5.0,배달완료
ORD00005,2024-08-01 20:49:34,CUST0470,STR022,라멘,16700,1,60.0,카드,Y,,배달완료
ORD00006,2024-12-30 16:36:49,CUST0266,STR016,갈비탕,12300,1,49.0,카드,N,3.0,배달완료
ORD00007,2024-06-19 09:59:11,CUST0239,STR071,불고기버거,8400,1,36.0,카드,N,4.0,배달완료
ORD00008,2024-06-06 19:18:59,CUST0479,STR010,마늘치킨,19800,1,19.0,간편결제,N,,배달완료
ORD00009,2024-12-28 12:13:27,CUST0447,STR064,오꼬노미야끼,19800,2,29.0,간편결제,Y,1.0,배달완료
ORD00010,2024-01-04 23:30:12,CUST0225,STR090,연어샐러드,11400,1,45.0,카드,N,4.0,배달완료
ORD00011,2024-10-18 19:46:16,CUST0298,STR007,튀김,9300,1,39.0,카드,N,2.0,배달완료
ORD00012,2024-07-01 18:09:28,CUST0163,STR064,라멘,12100,1,16.0,간편결제,Y,,배달완료
ORD00013,2024-12-17 13:45:35,CUST0418,STR084,연어샐러드,9200,1,30.0,간편결제,N,,취소
ORD00014,2024-05-10 09:41:32,CUST0019,STR062,너겟세트,6700,1,32.0,간편결제,N,5.0,배달완료
ORD00015,2024-09-17 23:51:45,CUST0476,STR055,빙수,15000,1,37.0,카드,N,,취소
ORD00016,2024-03-31 11:49:28,CUST0089,STR006,제육볶음,11300,1,32.0,카드,N,4.0,배달완료
ORD00017,2024-09-10 17:39:59,CUST0019,STR058,규동,8100,1,53.0,간편결제,N,5.0,배달완료
ORD00018,2024-05-08 11:16:17,CUST0349,STR003,규동,14400,1,52.0,현금,N,,취소
ORD00019,2024-02-26 18:06:07,CUST0298,STR043,감자튀김,7500,1,42.0,현금,N,,배달중
ORD00020,2024-03-08 20:05:59,CUST0277,STR087,짜장면,12400,1,46.0,카드,N,5.0,배달완료
ORD00021,2024-12-16 11:52:39,CUST0311,STR077,볶음밥,14100,2,38.0,현금,N,4.0,배달완료
ORD00022,2024-10-05 21:15:06,CUST0050,STR084,닭가슴살샐러드,13700,1,26.0,카드,Y,,배달완료
ORD00023,2024-04-14 18:59:19,CUST0224,STR009,간장치킨,24300,1,57.0,카드,N,4.0,배달완료
ORD00024,2024-03-31 23:33:43,CUST0378,STR035,포케보울,11300,1,24.0,간편결제,N,5.0,배달완료
ORD00025,2024-11-10 21:12:25,CUST0260,STR069,된장찌개,13700,2,23.0,카드,Y,5.0,배달완료
ORD00026,2024-11-06 13:25:55,CUST0312,STR005,순대,9600,3,33.0,간편결제,N,,배달완료
