캠페인ID,고객ID,발송일,오픈여부,클릭여부,전환여부,전환금액
CAM010,CU00519,2024-01-01,Y,N,N,
CAM007,CU00389,2023-05-11,Y,N,N,
CAM007,CU00607,2023-05-04,N,N,N,
CAM004,CU00009,2023-12-23,Y,N,N,
CAM009,CU00510,2023-11-26,N,N,N,
CAM002,CU00783,2023-03-04,N,N,N,
CAM009,CU00599,2023-11-29,Y,N,N,
CAM002,CU00014,2023-03-05,Y,N,N,
CAM003,CU00144,2023-10-02,N,N,N,
CAM004,CU00785,2023-12-02,N,N,N,
CAM010,CU00459,2023-12-30,N,N,N,
CAM005,CU00047,2024-03-14,Y,N,N,
CAM008,CU00703,2023-10-19,Y,N,N,
CAM009,CU00520,2023-11-29,N,N,N,
CAM005,CU00386,2024-03-29,Y,N,N,
CAM005,CU00104,2024-03-03,N,N,N,
CAM001,CU00039,2023-06-02,Y,N,N,
CAM007,CU00726,2023-05-10,Y,N,N,
CAM007,CU00699,2023-05-24,Y,N,N,
CAM009,CU00642,2023-11-23,Y,N,N,
CAM007,CU00204,2023-05-29,Y,Y,N,
CAM009,CU00489,2023-11-26,N,N,N,
CAM003,CU00548,2023-09-19,Y,N,N,
CAM007,CU00263,2023-05-28,Y,Y,Y,17500.0
CAM007,CU00499,2023-05-06,N,N,N,
CAM004,CU00072,2023-12-23,Y,Y,N,
CAM003,CU00678,2023-10-03,Y,N,N,
CAM002,CU00188,2023-03-16,N,N,N,
CAM005,CU00660,2024-03-04,N,N,N,
CAM010,CU00119,2023-12-31,Y,N,N,
CAM003,CU00572,2023-09-19,N,N,N,
CAM009,CU00481,2023-11-28,N,N,N,
CAM010,CU00002,2023-12-27,N,N,N,
CAM004,CU00191,2023-12-24,N,N,N,
CAM009,CU00590,2023-11-25,Y,Y,N,
CAM008,CU00026,2023-10-03,N,N,N,
CAM010,CU00689,2023-12-31,N,N,N,
CAM008,CU00025,2023-10-12,N,N,N,
CAM007,CU00134,2023-05-15,N,N,N,
CAM001,CU00670,2023-06-21,Y,Y,Y,34000.0
CAM009,CU00563,2023-11-22,N,N,N,
CAM010,CU00697,2023-12-28,Y,Y,Y,8700.0
CAM007,CU00426,2023-05-18,Y,Y,N,
CAM009,CU00587,2023-11-20,Y,Y,N,
CAM005,CU00138,2024-03-29,N,N,N,
CAM001,CU00303,2023-06-08,N,N,N,
CAM009,CU00495,2023-11-26,Y,N,N,
CAM005,CU00792,2024-03-01,Y,N,N,
CAM008,CU00480,2023-10-03,N,N,N,
CAM005,CU00083,2024-03-08,N,N,N,
CAM008,CU00459,2023-10-25,N,N,N,
CAM009,CU00323,2023-11-24,Y,N,N,
CAM009,CU00779,2023-11-23,N,N,N,
CAM009,CU00754,2023-11-24,N,N,N,
CAM003,CU00709,2023-09-18,N,N,N,
CAM003,CU00294,2023-09-27,Y,N,N,
CAM003,CU00765,2023-09-22,N,N,N,
CAM005,CU00370,2024-03-01,N,N,N,
CAM009,CU00773,2023-11-26,N,N,N,
CAM001,CU00531,2023-06-07,N,N,N,
CAM010,CU00791,2023-12-22,N,N,N,
CAM002,CU00098,2023-03-10,Y,N,N,
CAM009,CU00003,2023-11-27,N,N,N,
CAM009,CU00140,2023-11-25,N,N,N,
CAM001,CU00214,2023-06-13,Y,N,N,
CAM007,CU00438,2023-05-02,Y,N,N,
CAM010,CU00340,2023-12-25,Y,Y,N,
CAM005,CU00475,2024-03-05,N,N,N,
CAM005,CU00421,2024-03-22,Y,N,N,
CAM007,CU00017,2023-05-04,Y,N,N,
CAM009,CU00626,2023-11-21,N,N,N,
CAM007,CU00412,2023-05-19,Y,N,N,
CAM003,CU00653,2023-09-20,N,N,N,
CAM007,CU00631,2023-05-01,Y,N,N,
CAM004,CU00460,2023-12-06,N,N,N,
CAM009,CU00230,2023-11-26,N,N,N,
CAM002,CU00786,2023-03-11,Y,N,N,
CAM007,CU00756,2023-05-01,N,N,N,
CAM001,CU00368,2023-06-23,Y,N,N,
CAM004,CU00140,2023-12-07,N,N,N,
CAM005,CU00464,2024-03-05,N,N,N,
CAM002,CU00256,2023-03-30,N,N,N,
CAM003,CU00447,2023-09-30,N,N,N,
CAM001,CU00146,2023-06-23,Y,N,N,
CAM001,CU00569,2023-06-11,N,N,N,
CAM003,CU00342,2023-09-25,Y,N,N,
CAM004,CU00071,2023-12-18,Y,Y,Y,13800.0
CAM002,CU00530,2023-03-06,Y,N,N,
CAM010,CU00717,2024-01-03,Y,Y,N,
CAM009,CU00057,2023-11-28,Y,N,N,
CAM001,CU00399,2023-06-15,Y,Y,Y,28700.0
CAM007,CU00388,2023-05-04,Y,Y,N,
CAM007,CU00297,2023-05-05,N,N,N,
CAM003,CU00524,2023-09-23,N,N,N,
CAM009,CU00790,2023-11-23,Y,N,N,
CAM004,CU00631,2023-12-19,Y,N,N,
CAM002,CU00154,2023-03-15,N,N,N,
CAM005,CU00061,2024-03-16,Y,N,N,
CAM008,CU00355,2023-10-09,N,N,N,
CAM009,CU00767,2023-11-27,N,N,N,
CAM003,CU00048,2023-09-27,N,N,N,
CAM007,CU00730,2023-05-23,Y,N,N,
CAM002,CU00782,2023-03-15,N,N,N,
CAM002,CU00182,2023-03-12,N,N,N,
CAM004,CU00419,2023-12-19,N,N,N,
CAM008,CU00341,2023-10-25,Y,N,N,
CAM007,CU00240,2023-05-12,N,N,N,
CAM005,CU00458,2024-03-24,N,N,N,
CAM002,CU00775,2023-03-02,Y,N,N,
CAM004,CU00024,2023-12-12,N,N,N,
CAM002,CU00228,2023-03-16,N,N,N,
CAM010,CU00612,2023-12-27,N,N,N,
CAM001,CU00380,2023-06-19,N,N,N,
CAM001,CU00264,2023-06-20,Y,N,N,
CAM007,CU00255,2023-05-07,N,N,N,
CAM009,CU00381,2023-11-26,Y,N,N,
CAM005,CU00365,2024-03-04,Y,N,N,
CAM007,CU00209,2023-05-05,N,N,N,
CAM001,CU00085,2023-06-28,Y,N,N,
CAM005,CU00560,2024-03-18,N,N,N,
CAM008,CU00054,2023-10-24,Y,N,N,
CAM006,CU00357,2023-08-06,Y,N,N,
CAM006,CU00521,2023-08-02,Y,N,N,
CAM007,CU00682,2023-05-27,N,N,N,
CAM009,CU00075,2023-11-29,Y,N,N,
CAM010,CU00484,2024-01-03,Y,N,N,
CAM004,CU00392,2023-12-02,Y,N,N,
CAM008,CU00784,2023-10-29,N,N,N,
CAM007,CU00513,2023-05-23,N,N,N,
CAM007,CU00122,2023-05-02,N,N,N,
CAM003,CU00502,2023-09-23,N,N,N,
CAM002,CU00376,2023-03-26,N,N,N,
CAM001,CU00252,2023-06-23,Y,N,N,
CAM007,CU00329,2023-05-06,N,N,N,
CAM006,CU00090,2023-08-11,N,N,N,
CAM007,CU00710,2023-05-16,N,N,N,
CAM007,CU00636,2023-05-24,Y,Y,Y,43000.0
CAM001,CU00341,2023-06-24,Y,N,N,
CAM003,CU00734,2023-10-01,N,N,N,
CAM005,CU00039,2024-03-30,N,N,N,
CAM004,CU00511,2023-12-04,N,N,N,
CAM008,CU00519,2023-10-25,N,N,N,
CAM009,CU00272,2023-11-27,N,N,N,
CAM007,CU00574,2023-05-28,N,N,N,
CAM008,CU00299,2023-10-03,N,N,N,
CAM007,CU00505,2023-05-23,Y,N,N,
CAM002,CU00357,2023-03-08,Y,N,N,
CAM009,CU00304,2023-11-28,N,N,N,
CAM006,CU00349,2023-07-18,N,N,N,
CAM005,CU00353,2024-03-16,N,N,N,
CAM005,CU00037,2024-03-29,N,N,N,
CAM009,CU00545,2023-11-26,N,N,N,
CAM010,CU00695,2023-12-31,Y,N,N,
CAM002,CU00149,2023-03-30,N,N,N,
CAM007,CU00420,2023-05-26,Y,N,N,
CAM007,CU00680,2023-05-28,Y,N,N,
CAM001,CU00215,2023-06-11,Y,Y,N,
CAM007,CU00554,2023-05-10,Y,N,N,
CAM007,CU00621,2023-05-07,N,N,N,
CAM009,CU00549,2023-11-27,N,N,N,
CAM001,CU00172,2023-06-22,Y,Y,N,
CAM002,CU00698,2023-03-24,Y,Y,N,
CAM007,CU00788,2023-05-17,N,N,N,
CAM001,CU00015,2023-06-15,N,N,N,
CAM009,CU00260,2023-11-25,N,N,N,
