고객ID,연월,이용횟수,이용시간(분)
CU00001,2023-01,6.0,162.0
CU00001,2023-02,10.0,197.0
CU00001,2023-03,11.0,294.0
CU00001,2023-04,9.0,300.0
CU00001,2023-05,6.0,162.0
CU00001,2023-06,4.0,124.0
CU00001,2023-07,7.0,127.0
CU00001,2023-09,6.0,192.0
CU00001,2023-10,4.0,100.0
CU00001,2023-11,2.0,31.0
CU00001,2023-12,5.0,60.0
CU00002,2023-01,14.0,257.0
CU00002,2023-02,17.0,628.0
CU00002,2023-03,10.0,307.0
CU00002,2023-04,13.0,483.0
CU00002,2023-05,15.0,374.0
CU00002,2023-06,12.0,274.0
CU00002,2023-07,15.0,442.0
CU00002,2023-08,14.0,209.0
CU00002,2023-09,15.0,342.0
CU00002,2023-10,21.0,290.0
CU00002,2023-11,8.0,255.0
CU00002,2023-12,18.0,292.0
CU00003,2023-01,6.0,114.0
CU00003,2023-02,4.0,78.0
CU00003,2023-03,3.0,112.0
CU00003,2023-04,2.0,86.0
CU00004,2023-01,15.0,407.0
CU00004,2023-02,14.0,415.0
CU00004,2023-03,13.0,436.0
CU00004,2023-04,12.0,137.0
CU00004,2023-05,14.0,337.0
CU00004,2023-06,14.0,260.0
CU00004,2023-07,13.0,239.0
CU00004,2023-08,5.0,180.0
CU00004,2023-09,20.0,188.0
CU00004,2023-10,12.0,299.0
CU00004,2023-11,18.0,196.0
CU00004,2023-12,14.0,279.0
CU00007,2023-04,10.0,292.0
CU00007,2023-05,17.0,342.0
CU00007,2023-06,19.0,722.0
CU00007,2023-07,14.0,261.0
CU00007,2023-08,19.0,217.0
CU00007,2023-09,24.0,454.0
CU00007,2023-10,15.0,352.0
CU00007,2023-11,13.0,445.0
CU00007,2023-12,18.0,404.0
CU00008,2023-01,7.0,54.0
CU00008,2023-02,6.0,70.0
CU00008,2023-03,4.0,130.0
CU00008,2023-04,8.0,287.0
CU00008,2023-05,8.0,262.0
CU00008,2023-06,7.0,138.0
CU00008,2023-07,6.0,160.0
CU00008,2023-08,3.0,56.0
CU00008,2023-09,,88.0
CU00008,2023-10,5.0,91.0
CU00008,2023-11,2.0,48.0
CU00008,2023-12,3.0,45.0
CU00010,2023-01,13.0,495.0
CU00010,2023-02,21.0,795.0
CU00010,2023-03,22.0,226.0
CU00010,2023-04,18.0,434.0
CU00010,2023-05,13.0,464.0
CU00010,2023-06,14.0,249.0
CU00010,2023-07,15.0,576.0
CU00010,2023-08,16.0,407.0
CU00010,2023-09,18.0,450.0
CU00010,2023-10,14.0,264.0
CU00010,2023-11,18.0,
CU00010,2023-12,9.0,151.0
CU00013,2023-12,5.0,85.0
CU00014,2023-06,10.0,108.0
CU00014,2023-07,13.0,252.0
CU00014,2023-08,12.0,464.0
CU00014,2023-09,13.0,525.0
CU00014,2023-10,20.0,665.0
CU00014,2023-11,,523.0
CU00014,2023-12,15.0,469.0
CU00015,2023-01,18.0,326.0
CU00015,2023-02,18.0,320.0
CU00015,2023-03,15.0,147.0
CU00015,2023-04,14.0,276.0
CU00015,2023-05,17.0,260.0
CU00015,2023-06,,197.0
CU00015,2023-07,14.0,554.0
CU00015,2023-08,15.0,304.0
CU00015,2023-09,23.0,347.0
CU00015,2023-10,17.0,354.0
CU00015,2023-11,11.0,441.0
CU00015,2023-12,18.0,399.0
CU00017,2023-07,9.0,272.0
CU00017,2023-08,12.0,413.0
CU00017,2023-09,14.0,435.0
CU00017,2023-10,20.0,633.0
CU00017,2023-11,18.0,634.0
CU00017,2023-12,14.0,388.0
CU00020,2023-01,3.0,121.0
CU00020,2023-02,2.0,48.0
CU00021,2023-01,7.0,
CU00021,2023-02,14.0,527.0
CU00021,2023-03,16.0,626.0
CU00021,2023-05,19.0,700.0
CU00021,2023-06,15.0,161.0
CU00021,2023-07,22.0,323.0
CU00021,2023-08,10.0,220.0
CU00021,2023-09,16.0,359.0
CU00021,2023-10,16.0,546.0
CU00021,2023-11,18.0,455.0
CU00021,2023-12,15.0,238.0
CU00022,2023-11,3.0,111.0
CU00022,2023-12,,48.0
CU00023,2023-01,9.0,259.0
