유저ID,상품ID,평점,구매일자
USER001,ITEM045,2,2024-02-10
USER001,ITEM047,3,2024-11-06
USER001,ITEM011,2,2024-05-30
USER001,ITEM006,1,2024-06-10
USER001,ITEM026,5,2024-01-07
USER001,ITEM031,1,2024-01-07
USER001,ITEM049,2,2024-06-12
USER001,ITEM025,4,2024-05-23
USER001,ITEM023,5,2024-11-08
USER001,ITEM032,3,2024-11-11
USER001,ITEM024,4,2024-11-07
USER001,ITEM050,3,2024-02-23
USER001,ITEM020,3,2024-09-28
USER001,ITEM040,3,2024-07-29
USER001,ITEM016,2,2024-03-27
USER001,ITEM046,2,2024-06-01
USER001,ITEM015,2,2024-05-11
USER001,ITEM004,1,2024-07-27
USER001,ITEM019,1,2024-06-16
USER001,ITEM028,4,2024-08-29
USER001,ITEM043,3,2024-01-07
USER001,ITEM014,2,2024-09-19
USER001,ITEM035,2,2024-10-10
USER001,ITEM012,2,2024-01-24
USER001,ITEM041,2,2024-04-22
USER001,ITEM044,3,2024-02-06
USER001,ITEM001,2,2024-03-07
USER001,ITEM033,3,2024-12-23
USER001,ITEM048,2,2024-06-27
USER001,ITEM017,2,2024-07-18
USER001,ITEM003,2,2024-01-22
USER001,ITEM029,3,2024-07-23
USER001,ITEM036,3,2024-07-13
USER001,ITEM022,5,2024-12-31
USER001,ITEM013,2,2024-02-23
USER001,ITEM030,5,2024-10-19
USER001,ITEM039,3,2024-04-17
USER001,ITEM008,2,2024-02-25
USER001,ITEM037,3,2024-07-03
USER001,ITEM042,2,2024-09-20
USER001,ITEM018,1,2024-04-17
USER001,ITEM021,4,2024-04-22
USER001,ITEM005,3,2024-04-21
USER001,ITEM002,3,2024-12-02
USER001,ITEM034,3,2024-11-21
USER001,ITEM038,2,2024-08-07
USER001,ITEM007,3,2024-04-01
USER002,ITEM037,4,2024-02-19
USER002,ITEM042,2,2024-04-06
USER002,ITEM045,1,2024-05-28
USER002,ITEM032,4,2024-02-02
USER002,ITEM035,4,2024-10-30
USER002,ITEM002,2,2024-12-06
USER002,ITEM019,2,2024-01-12
USER002,ITEM027,4,2024-08-08
USER002,ITEM015,4,2024-09-14
USER002,ITEM018,2,2024-03-09
USER002,ITEM048,1,2024-04-24
USER002,ITEM022,5,2024-02-10
USER002,ITEM039,5,2024-12-06
USER002,ITEM040,5,2024-01-20
USER002,ITEM006,3,2024-12-01
USER002,ITEM041,2,2024-09-18
USER002,ITEM026,5,2024-07-22
USER002,ITEM049,3,2024-08-05
USER002,ITEM050,1,2024-07-16
USER002,ITEM028,5,2024-08-05
USER002,ITEM025,4,2024-05-11
USER002,ITEM013,4,2024-12-01
USER002,ITEM009,1,2024-09-24
USER002,ITEM034,3,2024-11-19
USER002,ITEM044,1,2024-10-18
USER002,ITEM001,1,2024-08-01
USER002,ITEM008,2,2024-12-20
USER002,ITEM004,2,2024-12-27
USER002,ITEM046,2,2024-12-13
USER002,ITEM029,5,2024-06-14
USER002,ITEM012,2,2024-12-05
USER002,ITEM043,1,2024-05-25
USER002,ITEM036,4,2024-12-12
USER002,ITEM011,3,2024-07-27
USER002,ITEM016,2,2024-04-30
USER002,ITEM007,3,2024-08-15
USER002,ITEM017,2,2024-02-07
USER002,ITEM031,4,2024-02-18
USER002,ITEM023,5,2024-04-13
USER002,ITEM010,2,2024-05-05
USER002,ITEM030,5,2024-02-04
USER002,ITEM024,4,2024-06-11
USER002,ITEM033,5,2024-09-27
USER002,ITEM021,5,2024-11-19
USER002,ITEM047,1,2024-02-18
USER003,ITEM012,3,2024-03-30
USER003,ITEM003,4,2024-12-25
USER003,ITEM002,3,2024-06-22
USER003,ITEM047,5,2024-03-17
USER003,ITEM044,4,2024-10-24
USER003,ITEM001,3,2024-03-11
USER003,ITEM041,5,2024-04-07
USER003,ITEM010,4,2024-08-01
