고객ID,연월,로그인횟수,서비스이용시간(분),문의횟수,불만횟수
C00001,2023-03,39,1844,4,0
C00001,2023-04,36,1966,4,0
C00001,2023-09,21,1334,2,0
C00001,2023-12,42,1139,4,0
C00001,2024-01,20,1948,0,1
C00001,2024-02,25,1918,2,0
C00001,2024-03,27,1601,2,1
C00001,2024-05,51,1334,1,1
C00001,2024-06,30,2108,1,1
C00002,2023-02,30,1891,1,0
C00002,2023-05,50,1445,0,1
C00002,2023-07,27,1590,1,0
C00002,2023-08,31,2000,3,1
C00002,2023-12,34,1670,0,0
C00002,2024-01,27,932,3,1
C00002,2024-02,43,1308,2,0
C00002,2024-04,30,1402,0,0
C00002,2024-05,25,1534,2,0
C00002,2024-06,23,1388,2,1
C00003,2023-01,37,2061,2,0
C00003,2023-02,36,1191,2,0
C00003,2023-03,48,2085,0,0
C00003,2023-04,30,1473,0,1
C00003,2023-05,47,1139,4,0
C00003,2023-06,29,1514,3,2
C00003,2023-07,11,1803,1,1
C00003,2023-08,21,1709,1,0
C00003,2023-09,35,1313,1,1
C00003,2023-10,28,1449,2,0
C00003,2023-11,23,2063,3,0
C00003,2023-12,47,1788,2,0
C00003,2024-01,45,1398,0,2
C00003,2024-02,46,1535,2,0
C00003,2024-03,40,2041,0,0
C00003,2024-04,23,1204,3,0
C00003,2024-05,43,2140,0,0
C00003,2024-06,24,1894,0,0
C00004,2023-01,51,2006,5,2
C00004,2023-02,41,2285,0,0
C00004,2023-03,39,2005,0,2
C00004,2023-04,38,1836,1,0
C00004,2023-05,42,1555,4,1
C00004,2023-06,25,1385,2,2
C00004,2023-07,12,1821,0,1
C00004,2023-08,25,1356,4,1
C00004,2023-10,24,1579,2,2
C00004,2023-11,16,963,7,2
C00004,2023-12,12,1439,2,2
C00004,2024-01,15,286,6,1
C00004,2024-02,27,343,4,2
C00004,2024-03,15,1036,4,1
C00004,2024-04,10,638,6,3
C00004,2024-05,10,730,4,3
C00004,2024-06,2,597,7,1
C00005,2023-01,38,1597,4,2
C00005,2023-02,38,1645,1,0
C00005,2023-03,54,1646,0,0
C00005,2023-04,34,1871,3,0
C00005,2023-05,29,1796,4,0
C00005,2023-06,38,1119,3,1
C00005,2023-07,25,1628,2,3
C00005,2023-08,18,1514,1,0
C00005,2023-09,40,1786,4,4
C00005,2023-10,14,1578,4,1
C00005,2023-11,21,947,2,4
C00005,2023-12,27,751,5,3
C00005,2024-01,16,1411,3,2
C00005,2024-02,12,741,3,2
C00005,2024-03,10,680,4,3
C00005,2024-04,20,320,8,2
C00005,2024-05,16,766,8,4
C00006,2023-01,45,1758,3,0
C00006,2023-02,32,1400,3,0
C00006,2023-04,29,1893,1,0
C00006,2023-05,35,1238,2,0
C00006,2023-08,37,1142,0,1
C00006,2023-12,51,1437,2,0
C00006,2024-01,40,1884,0,0
C00006,2024-02,19,1520,1,0
C00006,2024-03,36,1237,2,1
C00006,2024-04,5,1452,2,0
C00006,2024-05,22,1250,4,1
C00006,2024-06,33,1697,3,0
C00007,2023-02,32,1188,3,0
C00007,2023-03,37,1794,2,0
C00007,2023-04,32,2105,3,2
C00007,2023-05,31,877,0,0
C00007,2023-07,33,832,1,2
C00007,2023-08,29,1563,1,0
C00007,2023-09,49,1247,1,1
C00007,2023-10,11,1382,2,2
C00007,2023-11,20,859,2,0
C00007,2023-12,19,1900,3,0
C00007,2024-01,54,1850,4,0
C00007,2024-02,29,1493,1,0
C00007,2024-03,32,2082,4,0
C00007,2024-05,47,1528,1,0
C00007,2024-06,43,1554,1,0
C00008,2023-01,38,1318,3,0
C00008,2023-02,36,2071,1,1
C00008,2023-03,38,2050,0,0
C00008,2023-04,43,1834,0,0
C00008,2023-05,18,1492,2,0
C00008,2023-06,26,1589,0,1
C00008,2023-07,43,1641,3,1
C00008,2023-08,34,1520,6,1
C00008,2023-09,8,625,3,1
C00008,2023-10,38,560,5,3
C00008,2023-11,30,1346,4,5
C00008,2023-12,13,1103,7,2
C00008,2024-03,21,0,9,3
C00008,2024-04,13,505,4,1
C00008,2024-05,20,298,3,3
C00008,2024-06,12,471,5,4
C00009,2023-01,48,1923,1,1
C00009,2023-02,50,1735,3,1
C00009,2023-03,32,1456,2,0
C00009,2023-04,34,2333,7,1
C00009,2023-05,36,1678,6,0
C00009,2023-07,41,1414,7,2
C00009,2023-08,25,1633,3,2
C00009,2023-09,18,1509,4,1
C00009,2023-10,27,1105,0,2
C00009,2023-11,24,1614,6,2
C00009,2023-12,0,1300,6,2
C00009,2024-02,1,499,4,2
C00009,2024-03,10,568,4,4
C00009,2024-04,15,701,7,3
C00009,2024-05,23,605,4,4
C00009,2024-06,3,1089,8,2
C00010,2023-01,36,2133,2,1
C00010,2023-02,27,1187,0,0
C00010,2023-03,27,2123,2,0
C00010,2023-04,33,2219,2,0
C00010,2023-05,37,1844,0,2
C00010,2023-08,41,1150,3,2
C00010,2023-09,18,2218,0,1
C00010,2023-10,22,1243,2,1
C00010,2023-11,32,741,3,0
C00010,2023-12,44,1896,2,0
C00010,2024-01,29,1456,2,0
C00010,2024-02,44,1316,0,0
C00010,2024-03,37,1888,3,1
C00010,2024-04,6,1601,2,0
C00010,2024-05,44,1427,3,0
C00010,2024-06,38,1263,1,0
C00011,2023-01,34,1691,0,0
C00011,2023-03,16,1016,3,0
C00011,2023-04,32,1336,0,0
C00011,2023-06,29,1005,4,1
C00011,2023-07,17,2526,1,0
C00011,2023-08,20,1440,2,0
C00011,2023-10,27,1988,4,0
C00011,2023-12,34,1418,2,0
C00011,2024-01,30,2037,0,2
C00011,2024-02,57,1110,0,1
C00011,2024-03,22,1810,0,0
C00011,2024-04,31,1740,0,0
C00011,2024-06,28,1286,1,0
C00012,2023-01,32,2307,4,0
C00012,2023-02,52,2244,4,1
C00012,2023-03,53,1688,0,2
C00012,2023-04,28,1759,0,1
C00012,2023-05,26,1707,5,1
C00012,2023-06,36,1607,3,0
C00012,2023-07,43,1149,2,0
C00012,2023-08,24,1253,0,1
C00012,2023-09,23,1201,1,2
C00012,2023-10,23,1077,5,1
C00012,2023-11,34,640,4,3
C00012,2023-12,21,785,2,3
C00012,2024-01,12,565,6,1
C00012,2024-02,7,491,10,2
C00012,2024-03,8,622,3,3
C00012,2024-04,11,386,3,4
C00012,2024-05,21,325,2,2
C00012,2024-06,10,1062,4,2
C00013,2023-01,12,674,1,0
C00013,2023-03,43,1315,2,1
C00013,2023-05,28,1217,0,0
C00013,2023-06,28,1642,2,0
C00013,2023-08,37,1415,2,0
C00013,2023-09,48,917,5,0
C00013,2023-11,34,1675,3,1
C00013,2024-01,29,1734,3,0
C00013,2024-02,19,1063,0,0
C00013,2024-03,43,1300,2,0
C00013,2024-05,30,1271,0,0
C00013,2024-06,34,990,0,0
C00014,2023-01,44,951,0,0
C00014,2023-02,14,1506,0,0
C00014,2023-03,42,1086,0,0
C00014,2023-04,38,1972,1,1
C00014,2023-06,41,2120,0,1
C00014,2023-07,36,2069,0,0
C00014,2023-09,36,1325,1,1
C00014,2023-10,47,1645,3,0
C00014,2023-11,38,1059,1,0
C00014,2023-12,35,2131,0,0
C00014,2024-01,28,1746,0,2
C00014,2024-02,20,2358,6,0
C00014,2024-03,47,1113,0,0
C00014,2024-04,25,2464,0,1
C00014,2024-05,40,1419,2,0
C00014,2024-06,23,1659,1,2
C00015,2023-02,24,1965,0,0
C00015,2023-05,32,1312,2,0
C00015,2023-06,40,1444,3,0
C00015,2023-07,47,1743,0,0
C00015,2023-08,35,1909,0,0
C00015,2023-10,39,1235,1,0
C00015,2024-02,47,914,1,0
C00015,2024-03,33,1505,2,1
C00016,2023-01,19,1643,3,0
C00016,2023-03,41,1278,2,1
C00016,2023-04,32,2244,0,0
C00016,2023-05,43,749,0,0
C00016,2023-06,31,1537,0,1
C00016,2023-08,41,2001,0,0
C00016,2023-09,30,1442,0,0
C00016,2023-10,21,1869,4,0
C00016,2023-11,51,1102,0,1
C00016,2023-12,29,2241,3,1
C00016,2024-01,30,2126,1,0
C00016,2024-02,36,1628,3,0
C00016,2024-03,23,1292,0,0
C00016,2024-04,37,1428,0,0
C00016,2024-05,29,1846,1,0
C00017,2023-02,18,2342,2,1
C00017,2023-03,17,1235,4,0
C00017,2023-05,48,852,1,0
C00017,2023-07,35,1732,0,2
C00017,2023-08,32,2546,2,1
C00017,2023-09,42,2060,3,0
C00017,2023-10,30,2253,0,0
C00017,2023-11,35,1755,2,1
C00017,2024-01,41,2541,2,0
C00017,2024-02,30,1248,1,0
C00017,2024-03,37,1487,0,0
C00017,2024-04,31,1493,0,0
C00017,2024-05,41,1518,2,0
C00018,2023-01,36,1862,2,0
C00018,2023-02,42,1980,2,0
C00018,2023-03,21,1404,2,2
C00018,2023-04,36,1487,1,0
C00018,2023-09,29,1364,4,2
C00018,2023-10,27,1274,2,2
C00018,2023-11,15,1094,4,3
C00018,2023-12,10,729,8,3
C00018,2024-02,7,486,5,4
C00018,2024-03,18,266,6,4
C00019,2023-01,27,1039,0,1
C00019,2023-02,33,1197,1,0
C00019,2023-03,39,1769,3,0
C00019,2023-05,36,1797,3,0
C00019,2023-06,42,569,3,0
C00019,2023-08,45,851,1,0
C00019,2023-09,34,1016,0,1
C00019,2023-12,30,1435,3,0
C00019,2024-01,25,687,3,1
C00019,2024-02,19,2331,3,0
C00019,2024-03,46,1096,0,0
C00019,2024-04,25,1579,3,0
C00019,2024-06,28,918,2,1
C00020,2023-05,29,1491,0,0
C00020,2023-07,25,1521,2,1
C00020,2023-08,15,1213,1,1
C00020,2023-09,38,907,2,0
C00020,2023-10,29,941,3,0
C00020,2024-01,36,2044,3,0
C00020,2024-02,25,1929,4,0
C00020,2024-03,42,2118,0,0
C00020,2024-04,26,2178,1,0
C00020,2024-05,27,608,2,0
C00020,2024-06,36,1722,1,0
C00021,2023-02,31,1414,4,0
C00021,2023-03,38,1535,0,0
C00021,2023-05,26,2028,0,1
C00021,2023-06,10,2226,1,1
C00021,2023-07,33,1073,1,0
C00021,2023-08,40,1073,0,0
C00021,2023-10,21,1645,2,1
C00021,2023-11,40,1358,1,0
C00021,2023-12,22,1375,1,1
C00021,2024-01,32,1602,2,1
C00021,2024-02,11,2113,1,1
C00021,2024-03,36,1603,2,1
C00021,2024-04,43,1675,2,0
C00021,2024-05,52,1318,3,0
C00021,2024-06,24,1381,1,0
C00022,2023-01,40,1895,1,0
C00022,2023-02,33,2134,0,1
C00022,2023-03,37,1540,3,0
C00022,2023-04,35,1658,2,0
C00022,2023-07,24,1336,1,3
C00022,2023-08,28,1176,3,1
C00022,2023-11,24,1253,3,0
C00022,2023-12,21,685,1,2
C00022,2024-01,19,664,5,3
C00022,2024-03,3,79,9,4
C00022,2024-05,15,756,8,4
C00023,2023-03,27,1377,1,0
C00023,2023-08,34,1482,3,0
C00023,2023-10,35,1109,2,0
C00023,2023-11,30,1635,2,1
C00023,2023-12,44,1701,3,0
C00023,2024-02,50,1482,2,0
C00023,2024-03,42,1103,2,0
C00023,2024-04,17,2084,2,1
C00023,2024-06,53,1473,4,0
C00024,2023-01,43,1271,3,1
C00024,2023-02,27,1800,2,0
C00024,2023-03,44,2220,1,0
C00024,2023-04,28,1435,3,0
C00024,2023-05,21,1984,1,0
C00024,2023-06,32,1393,1,0
C00024,2023-07,46,749,3,0
C00024,2023-08,41,1331,2,0
C00024,2023-09,36,2000,3,0
C00024,2023-11,33,1472,1,0
C00024,2023-12,33,1495,3,1
C00024,2024-01,51,953,3,1
C00024,2024-02,38,1606,3,1
C00024,2024-03,25,1381,2,0
C00024,2024-04,47,1155,2,0
C00024,2024-05,35,2023,2,0
