거래ID,고객ID,거래일,거래금액,카테고리,결제방법
T000001,C00722,2023-06-02,447372.0,뷰티,간편결제
T000002,C01476,2024-01-06,302993.0,생활,카드
T000003,C01687,2023-04-20,80316.0,전자,카드
T000004,C01754,2023-01-21,463672.0,전자,현금
T000005,C01206,2023-08-09,421885.0,전자,간편결제
T000006,C00861,2024-02-05,227998.0,의류,카드
T000007,C00494,2023-06-09,47667.0,식품,간편결제
T000008,C00998,2023-07-29,167671.0,전자,카드
T000009,C00741,2023-08-08,68158.0,전자,간편결제
T000010,C01770,2023-04-14,174929.0,생활,카드
T000011,C00803,2023-04-11,139466.0,전자,간편결제
T000012,C01283,2023-12-02,258425.0,생활,카드
T000013,C01907,2024-03-15,145875.0,생활,간편결제
T000014,C01317,2023-12-15,108698.0,의류,간편결제
T000015,C00848,2024-01-25,126467.0,뷰티,현금
T000016,C01254,2023-07-20,386779.0,식품,카드
T000017,C00899,2023-08-15,479414.0,뷰티,카드
T000018,C01137,2023-07-14,490350.0,식품,간편결제
T000019,C00385,2023-12-06,96510.0,뷰티,간편결제
T000020,C00660,2023-08-14,184819.0,전자,카드
T000021,C00537,2023-06-28,168031.0,생활,간편결제
T000022,C01218,2023-10-16,130603.0,전자,카드
T000023,C00094,2023-08-10,22400.0,식품,현금
T000024,C01730,2024-04-05,95122.0,생활,카드
T000025,C01750,2023-11-07,17090.0,뷰티,간편결제
T000026,C01614,2023-03-20,369207.0,전자,카드
T000027,C01250,2024-01-22,125260.0,식품,현금
T000028,C01563,2023-04-14,110602.0,의류,간편결제
T000029,C01124,2023-03-25,212276.0,생활,간편결제
T000030,C01374,2024-03-17,434812.0,의류,간편결제
T000031,C00838,2024-04-13,197349.0,생활,카드
T000032,C00881,2023-08-14,211079.0,전자,카드
T000033,C00684,2024-01-30,119144.0,식품,간편결제
T000034,C00486,2023-11-18,353774.0,식품,카드
T000035,C01229,2023-09-30,111399.0,생활,카드
T000036,C01100,2024-03-21,124210.0,생활,현금
T000037,C00154,2024-04-05,171332.0,생활,현금
T000038,C00137,2023-04-06,436089.0,뷰티,현금
T000039,C01291,2024-05-10,406040.0,식품,현금
T000040,C01069,2023-11-19,373025.0,생활,간편결제
T000041,C00806,2023-05-04,159357.0,뷰티,간편결제
T000042,C00331,2024-06-14,111234.0,의류,카드
T000043,C00650,2023-02-26,7935.0,의류,간편결제
T000044,C00250,2023-10-12,91155.0,의류,현금
T000045,C01670,2023-07-08,264873.0,전자,간편결제
