날짜,카테고리,카테고리매출,카테고리주문수
2023-01-01,식품,94.5,21
2023-01-01,의류,49.1,7
2023-01-01,전자,57.4,9
2023-01-01,뷰티,40.6,12
2023-01-01,생활,58.9,27
2023-01-01,스포츠,23.8,11
2023-01-01,가구,39.3,7
2023-01-01,도서,20.5,7
2023-01-01,완구,25.1,4
2023-01-01,반려,23.5,4
2023-01-02,식품,98.6,30
2023-01-02,의류,44.9,15
2023-01-02,전자,52.9,15
2023-01-02,뷰티,38.3,7
2023-01-02,생활,51.8,16
2023-01-02,스포츠,22.2,3
2023-01-02,가구,35.3,9
2023-01-02,도서,17.7,7
2023-01-02,완구,21.5,3
2023-01-02,반려,16.5,4
2023-01-03,식품,115.3,17
2023-01-03,의류,53.6,8
2023-01-03,전자,62.4,21
2023-01-03,뷰티,41.8,7
2023-01-03,생활,58.6,24
2023-01-03,스포츠,24.2,6
2023-01-03,가구,39.3,18
2023-01-03,도서,20.3,2
2023-01-03,완구,26.3,5
2023-01-03,반려,20.2,5
2023-01-04,식품,101.6,14
2023-01-04,의류,60.0,12
2023-01-04,전자,60.6,8
2023-01-04,뷰티,40.8,7
2023-01-04,생활,46.1,7
2023-01-04,스포츠,23.6,3
2023-01-04,가구,41.2,12
2023-01-04,도서,22.2,3
2023-01-04,완구,23.9,7
2023-01-04,반려,17.8,3
2023-01-05,식품,107.9,20
2023-01-05,의류,51.2,7
2023-01-05,전자,62.3,18
2023-01-05,뷰티,44.6,8
2023-01-05,생활,49.2,13
2023-01-05,스포츠,22.6,3
2023-01-05,가구,44.1,9
2023-01-05,도서,23.8,3
2023-01-05,완구,24.0,3
2023-01-05,반려,24.6,7
2023-01-06,식품,89.7,32
2023-01-06,의류,44.1,6
2023-01-06,전자,58.4,8
2023-01-06,뷰티,42.2,7
2023-01-06,생활,49.8,23
2023-01-06,스포츠,20.8,3
2023-01-06,가구,30.5,13
2023-01-06,도서,21.7,3
2023-01-06,완구,21.9,3
2023-01-06,반려,21.4,5
2023-01-07,식품,81.1,10
2023-01-07,의류,44.9,17
2023-01-07,전자,56.0,8
2023-01-07,뷰티,34.3,9
2023-01-07,생활,41.4,5
2023-01-07,스포츠,19.0,3
2023-01-07,가구,38.4,13
2023-01-07,도서,21.3,2
2023-01-07,완구,25.0,7
2023-01-07,반려,19.5,2
2023-01-08,식품,118.3,38
2023-01-08,의류,55.8,13
2023-01-08,전자,55.5,12
2023-01-08,뷰티,44.6,9
2023-01-08,생활,49.7,6
2023-01-08,스포츠,22.3,3
2023-01-08,가구,35.8,8
2023-01-08,도서,21.7,2
2023-01-08,완구,24.9,3
2023-01-08,반려,18.0,5
2023-01-09,식품,69.1,32
2023-01-09,의류,32.0,6
2023-01-09,전자,35.1,9
2023-01-09,뷰티,27.5,5
2023-01-09,생활,37.1,6
2023-01-09,스포츠,15.0,1
2023-01-09,가구,27.1,8
2023-01-09,도서,12.2,2
2023-01-09,완구,16.7,2
2023-01-09,반려,14.7,2
2023-01-10,식품,111.8,21
2023-01-10,의류,43.1,6
2023-01-10,전자,53.8,8
2023-01-10,뷰티,44.0,7
2023-01-10,생활,47.8,10
2023-01-10,스포츠,20.8,5
2023-01-10,가구,36.7,5
2023-01-10,도서,20.4,6
2023-01-10,완구,23.2,3
2023-01-10,반려,19.2,3
2023-01-11,식품,107.4,17
2023-01-11,의류,48.3,6
2023-01-11,전자,53.1,6
2023-01-11,뷰티,34.9,16
2023-01-11,생활,52.8,15
2023-01-11,스포츠,23.6,3
2023-01-11,가구,39.7,4
2023-01-11,도서,18.5,2
2023-01-11,완구,20.9,4
2023-01-11,반려,21.8,5
2023-01-12,식품,62.8,12
2023-01-12,의류,31.9,4
2023-01-12,전자,31.5,5
2023-01-12,뷰티,26.9,5
2023-01-12,생활,25.4,4
2023-01-12,스포츠,12.9,4
2023-01-12,가구,24.4,4
2023-01-12,도서,13.7,2
2023-01-12,완구,15.4,7
2023-01-12,반려,11.9,3
2023-01-13,식품,121.9,39
2023-01-13,의류,50.8,9
2023-01-13,전자,60.0,18
2023-01-13,뷰티,44.3,17
2023-01-13,생활,44.8,10
2023-01-13,스포츠,25.7,4
2023-01-13,가구,38.3,7
2023-01-13,도서,20.7,2
2023-01-13,완구,22.4,3
2023-01-13,반려,24.1,3
2023-01-14,식품,115.7,30
2023-01-14,의류,68.1,27
2023-01-14,전자,83.2,13
2023-01-14,뷰티,54.2,20
2023-01-14,생활,64.9,10
2023-01-14,스포츠,31.2,13
2023-01-14,가구,39.6,9
2023-01-14,도서,22.7,4
2023-01-14,완구,34.2,7
2023-01-14,반려,28.0,13
2023-01-15,식품,87.1,39
2023-01-15,의류,45.9,6
2023-01-15,전자,50.6,8
2023-01-15,뷰티,37.8,4
2023-01-15,생활,40.8,12
2023-01-15,스포츠,18.5,4
2023-01-15,가구,32.6,4
2023-01-15,도서,19.8,3
2023-01-15,완구,23.3,9
2023-01-15,반려,18.9,2
2023-01-16,식품,102.1,13
2023-01-16,의류,50.9,19
2023-01-16,전자,50.7,25
2023-01-16,뷰티,34.6,13
2023-01-16,생활,43.8,7
2023-01-16,스포츠,22.9,3
2023-01-16,가구,37.9,16
2023-01-16,도서,15.7,2
2023-01-16,완구,20.7,5
2023-01-16,반려,17.5,4
2023-01-17,식품,86.7,18
2023-01-17,의류,43.4,7
2023-01-17,전자,49.7,14
2023-01-17,뷰티,30.9,7
2023-01-17,생활,44.1,6
2023-01-17,스포츠,20.2,5
2023-01-17,가구,32.0,5
2023-01-17,도서,17.1,3
2023-01-17,완구,20.5,3
2023-01-17,반려,18.3,6
2023-01-18,식품,63.6,22
2023-01-18,의류,25.7,3
2023-01-18,전자,40.0,16
2023-01-18,뷰티,23.1,7
2023-01-18,생활,28.0,4
2023-01-18,스포츠,14.9,2
2023-01-18,가구,20.4,3
2023-01-18,도서,11.1,1
2023-01-18,완구,15.6,2
2023-01-18,반려,11.1,2
2023-01-19,식품,53.7,7
2023-01-19,의류,30.8,7
2023-01-19,전자,36.9,5
2023-01-19,뷰티,22.0,3
2023-01-19,생활,33.3,4
2023-01-19,스포츠,13.5,4
2023-01-19,가구,21.7,5
2023-01-19,도서,11.2,1
2023-01-19,완구,14.8,2
2023-01-19,반려,10.7,1
2023-01-20,식품,58.9,8
2023-01-20,의류,30.4,4
2023-01-20,전자,36.6,9
2023-01-20,뷰티,21.7,10
2023-01-20,생활,22.1,6
2023-01-20,스포츠,10.7,3
2023-01-20,가구,17.8,8
2023-01-20,도서,12.2,5
2023-01-20,완구,13.9,4
2023-01-20,반려,12.2,1
2023-01-21,식품,198.0,32
2023-01-21,의류,80.6,10
2023-01-21,전자,125.4,17
2023-01-21,뷰티,78.7,19
2023-01-21,생활,100.7,26
2023-01-21,스포츠,42.8,16
2023-01-21,가구,77.0,27
2023-01-21,도서,34.4,6
2023-01-21,완구,48.6,8
2023-01-21,반려,34.5,17
2023-01-22,식품,123.3,15
2023-01-22,의류,62.6,13
2023-01-22,전자,76.4,17
2023-01-22,뷰티,45.8,9
2023-01-22,생활,53.7,8
2023-01-22,스포츠,25.6,6
2023-01-22,가구,38.3,17
2023-01-22,도서,23.3,6
2023-01-22,완구,24.4,4
2023-01-22,반려,24.0,3
2023-01-23,식품,117.6,15
2023-01-23,의류,66.4,9
2023-01-23,전자,72.8,19
2023-01-23,뷰티,53.4,14
2023-01-23,생활,50.9,10
2023-01-23,스포츠,22.6,2
2023-01-23,가구,43.5,8
2023-01-23,도서,24.4,4
2023-01-23,완구,24.0,4
2023-01-23,반려,24.8,5
2023-01-24,식품,67.9,20
2023-01-24,의류,28.9,9
2023-01-24,전자,36.1,5
2023-01-24,뷰티,27.5,6
2023-01-24,생활,30.8,4
2023-01-24,스포츠,12.9,4
2023-01-24,가구,26.0,4
2023-01-24,도서,14.3,3
2023-01-24,완구,15.9,4
2023-01-24,반려,11.6,2
2023-01-25,식품,100.9,33
2023-01-25,의류,49.6,22
2023-01-25,전자,67.4,13
2023-01-25,뷰티,37.2,12
2023-01-25,생활,44.8,7
2023-01-25,스포츠,20.8,3
2023-01-25,가구,33.0,9
2023-01-25,도서,23.7,3
2023-01-25,완구,22.2,3
2023-01-25,반려,21.1,2
2023-01-26,식품,72.3,11
2023-01-26,의류,40.3,11
2023-01-26,전자,43.4,9
2023-01-26,뷰티,24.0,11
2023-01-26,생활,29.6,5
2023-01-26,스포츠,15.9,2
2023-01-26,가구,21.8,4
2023-01-26,도서,15.7,3
2023-01-26,완구,17.3,2
2023-01-26,반려,15.1,2
2023-01-27,식품,128.1,29
2023-01-27,의류,64.6,18
2023-01-27,전자,64.3,27
2023-01-27,뷰티,50.0,11
2023-01-27,생활,50.6,14
2023-01-27,스포츠,28.8,4
2023-01-27,가구,42.4,7
2023-01-27,도서,22.8,5
2023-01-27,완구,31.0,11
2023-01-27,반려,22.4,5
2023-01-28,식품,120.4,25
2023-01-28,의류,60.6,21
2023-01-28,전자,72.0,20
2023-01-28,뷰티,43.3,18
2023-01-28,생활,61.9,13
2023-01-28,스포츠,27.8,4
2023-01-28,가구,45.9,9
2023-01-28,도서,23.1,5
2023-01-28,완구,29.9,6
2023-01-28,반려,26.4,3
2023-01-29,식품,153.5,54
2023-01-29,의류,88.5,23
2023-01-29,전자,86.8,11
2023-01-29,뷰티,62.1,8
2023-01-29,생활,86.4,13
2023-01-29,스포츠,34.5,10
2023-01-29,가구,61.9,20
2023-01-29,도서,31.8,8
2023-01-29,완구,36.4,11
2023-01-29,반려,36.7,12
2023-01-30,식품,86.9,15
2023-01-30,의류,57.8,14
2023-01-30,전자,53.4,9
2023-01-30,뷰티,45.1,6
2023-01-30,생활,50.0,12
2023-01-30,스포츠,22.8,8
2023-01-30,가구,38.5,6
2023-01-30,도서,22.9,6
2023-01-30,완구,20.6,3
2023-01-30,반려,21.3,3
2023-01-31,식품,44.9,12
2023-01-31,의류,24.8,6
2023-01-31,전자,32.6,6
2023-01-31,뷰티,21.4,3
2023-01-31,생활,25.5,6
2023-01-31,스포츠,12.1,3
2023-01-31,가구,18.1,5
2023-01-31,도서,9.7,2
2023-01-31,완구,10.9,1
2023-01-31,반려,8.8,1
2023-02-01,식품,126.5,59
2023-02-01,의류,58.5,16
2023-02-01,전자,56.7,12
2023-02-01,뷰티,49.6,23
2023-02-01,생활,54.0,10
2023-02-01,스포츠,27.3,10
2023-02-01,가구,42.1,6
2023-02-01,도서,23.0,3
2023-02-01,완구,28.9,12
2023-02-01,반려,21.7,4
2023-02-02,식품,89.3,18
2023-02-02,의류,45.7,9
2023-02-02,전자,64.5,25
2023-02-02,뷰티,42.4,8
2023-02-02,생활,46.8,6
2023-02-02,스포츠,20.2,4
2023-02-02,가구,33.3,7
2023-02-02,도서,21.2,3
2023-02-02,완구,19.9,7
2023-02-02,반려,18.4,7
2023-02-03,식품,70.6,24
2023-02-03,의류,34.3,16
2023-02-03,전자,38.3,6
2023-02-03,뷰티,26.9,3
2023-02-03,생활,36.1,8
2023-02-03,스포츠,13.1,1
2023-02-03,가구,27.6,3
2023-02-03,도서,12.0,1
2023-02-03,완구,15.1,2
2023-02-03,반려,15.2,4
2023-02-04,식품,91.0,23
2023-02-04,의류,46.3,12
2023-02-04,전자,54.8,23
2023-02-04,뷰티,34.2,6
2023-02-04,생활,38.3,11
2023-02-04,스포츠,19.1,6
2023-02-04,가구,29.7,8
2023-02-04,도서,18.3,8
2023-02-04,완구,17.6,5
2023-02-04,반려,15.7,4
2023-02-05,식품,78.4,10
2023-02-05,의류,41.8,7
2023-02-05,전자,41.0,6
2023-02-05,뷰티,28.1,4
2023-02-05,생활,34.6,7
2023-02-05,스포츠,16.7,2
2023-02-05,가구,25.2,4
2023-02-05,도서,13.9,2
2023-02-05,완구,21.0,4
2023-02-05,반려,15.5,2
2023-02-06,식품,78.9,16
2023-02-06,의류,40.1,6
2023-02-06,전자,41.2,5
2023-02-06,뷰티,30.5,12
2023-02-06,생활,40.5,9
2023-02-06,스포츠,15.3,2
2023-02-06,가구,31.5,4
2023-02-06,도서,17.7,2
2023-02-06,완구,15.9,3
2023-02-06,반려,17.0,4
2023-02-07,식품,102.2,18
2023-02-07,의류,47.6,6
2023-02-07,전자,59.1,12
2023-02-07,뷰티,45.2,9
2023-02-07,생활,42.7,8
2023-02-07,스포츠,24.1,3
2023-02-07,가구,38.9,6
2023-02-07,도서,18.2,2
2023-02-07,완구,26.4,8
2023-02-07,반려,17.5,2
2023-02-08,식품,83.1,11
2023-02-08,의류,41.8,7
2023-02-08,전자,46.5,8
2023-02-08,뷰티,25.7,3
2023-02-08,생활,35.7,6
2023-02-08,스포츠,16.6,3
2023-02-08,가구,24.4,6
2023-02-08,도서,13.3,4
2023-02-08,완구,20.4,6
2023-02-08,반려,13.8,2
2023-02-09,식품,98.2,33
2023-02-09,의류,51.7,7
2023-02-09,전자,52.1,13
2023-02-09,뷰티,42.7,6
2023-02-09,생활,47.9,19
2023-02-09,스포츠,20.6,3
2023-02-09,가구,31.1,6
2023-02-09,도서,19.4,4
2023-02-09,완구,24.5,3
2023-02-09,반려,17.9,2
2023-02-10,식품,73.4,10
2023-02-10,의류,37.3,14
2023-02-10,전자,51.7,10
2023-02-10,뷰티,37.1,8
2023-02-10,생활,37.2,7
2023-02-10,스포츠,18.3,4
2023-02-10,가구,31.8,4
2023-02-10,도서,18.3,2
2023-02-10,완구,18.5,2
2023-02-10,반려,16.0,2
2023-02-11,식품,150.8,18
2023-02-11,의류,81.1,10
2023-02-11,전자,99.5,13
2023-02-11,뷰티,65.9,13
2023-02-11,생활,66.9,15
2023-02-11,스포츠,28.9,5
2023-02-11,가구,54.9,10
2023-02-11,도서,34.4,4
2023-02-11,완구,32.5,7
2023-02-11,반려,29.4,7
2023-02-12,식품,183.9,35
2023-02-12,의류,86.2,12
2023-02-12,전자,109.7,39
2023-02-12,뷰티,71.3,15
2023-02-12,생활,75.4,32
2023-02-12,스포츠,37.4,9
2023-02-12,가구,56.4,9
2023-02-12,도서,36.2,10
2023-02-12,완구,34.7,4
2023-02-12,반려,28.6,3
2023-02-13,식품,89.6,22
2023-02-13,의류,39.9,19
2023-02-13,전자,47.3,16
2023-02-13,뷰티,35.4,11
2023-02-13,생활,41.4,7
2023-02-13,스포츠,18.0,8
2023-02-13,가구,26.8,12
2023-02-13,도서,18.3,4
2023-02-13,완구,22.4,4
2023-02-13,반려,16.9,3
2023-02-14,식품,109.6,30
2023-02-14,의류,45.6,8
2023-02-14,전자,58.1,12
2023-02-14,뷰티,42.7,8
2023-02-14,생활,50.8,9
