구매ID,유저ID,상품ID,구매일,평점,구매금액
PU000001,U0001,P010,2024-02-29,4.0,131100
PU000002,U0001,P015,2024-08-12,4.0,155500
PU000003,U0001,P022,2024-10-31,4.0,146600
PU000004,U0001,P005,2024-06-10,5.0,263800
PU000005,U0001,P019,2024-09-08,4.0,172000
PU000006,U0001,P016,2024-04-08,,287200
PU000007,U0001,P009,2024-02-29,3.0,149700
PU000008,U0001,P098,2024-06-28,,27300
PU000009,U0001,P005,2024-05-10,4.0,235700
PU000010,U0001,P010,2024-04-05,4.0,163700
PU000011,U0001,P002,2024-12-12,4.0,94600
PU000012,U0001,P018,2024-10-16,5.0,72000
PU000013,U0001,P094,2024-10-21,3.0,44900
PU000014,U0001,P045,2024-03-14,5.0,47300
PU000015,U0001,P018,2024-10-28,4.0,79000
PU000016,U0001,P094,2024-08-29,,50700
PU000017,U0001,P014,2024-05-27,5.0,31600
PU000018,U0001,P003,2024-12-08,,103600
PU000019,U0001,P039,2024-02-18,,173400
PU000020,U0001,P011,2024-12-29,4.0,131600
PU000021,U0001,P018,2024-12-23,3.0,75500
PU000022,U0001,P040,2024-09-06,4.0,86600
PU000023,U0001,P046,2024-07-05,,15900
PU000024,U0001,P008,2024-11-29,,237500
PU000025,U0001,P014,2024-01-07,4.0,36700
PU000026,U0001,P039,2024-12-11,3.0,145700
PU000027,U0001,P007,2024-06-17,5.0,305900
PU000028,U0001,P004,2024-05-15,5.0,184300
PU000029,U0001,P011,2024-01-28,4.0,136200
PU000030,U0001,P035,2024-05-19,2.0,79200
PU000031,U0002,P097,2024-05-11,4.0,12300
PU000032,U0002,P095,2024-06-06,,41900
PU000033,U0002,P099,2024-03-19,4.0,20300
PU000034,U0002,P087,2024-06-22,5.0,24100
PU000035,U0002,P099,2024-09-10,5.0,19700
PU000036,U0002,P096,2024-12-15,3.0,48500
PU000037,U0002,P087,2024-02-02,4.0,25200
PU000038,U0002,P054,2024-04-14,1.0,26400
PU000039,U0002,P003,2024-11-07,4.0,81100
PU000040,U0002,P081,2024-03-21,4.0,24700
PU000041,U0002,P095,2024-08-23,3.0,39000
PU000042,U0002,P088,2024-04-24,5.0,6600
PU000043,U0002,P089,2024-02-24,,24500
PU000044,U0002,P048,2024-09-26,4.0,45500
PU000045,U0002,P087,2024-07-06,5.0,24700
PU000046,U0002,P057,2024-07-24,,24900
PU000047,U0002,P100,2024-04-04,5.0,23700
PU000048,U0002,P091,2024-06-28,5.0,41400
PU000049,U0002,P089,2024-12-20,5.0,19800
PU000050,U0002,P096,2024-07-05,4.0,43000
PU000051,U0002,P053,2024-09-17,,32700
PU000052,U0002,P087,2024-02-26,3.0,28000
PU000053,U0002,P029,2024-08-31,2.0,61300
PU000054,U0002,P093,2024-06-20,4.0,26700
PU000055,U0002,P085,2024-04-04,,50500
PU000056,U0002,P061,2024-05-27,3.0,62200
PU000057,U0002,P092,2024-05-07,4.0,54000
PU000058,U0002,P083,2024-12-14,,33600
PU000059,U0002,P086,2024-04-21,4.0,44900
PU000060,U0002,P085,2024-05-11,4.0,47800
PU000061,U0002,P012,2024-05-16,4.0,288700
PU000062,U0002,P047,2024-05-12,4.0,29000
PU000063,U0002,P100,2024-08-15,5.0,20600
PU000064,U0002,P100,2024-06-03,3.0,27300
PU000065,U0002,P094,2024-09-03,,45600
PU000066,U0002,P091,2024-04-21,4.0,49700
PU000067,U0002,P097,2024-05-15,4.0,13900
PU000068,U0002,P002,2024-12-17,3.0,95500
PU000069,U0002,P099,2024-12-05,4.0,18600
PU000070,U0002,P082,2024-02-28,,43600
PU000071,U0002,P096,2024-07-18,,46200
PU000072,U0002,P100,2024-10-07,4.0,22800
PU000073,U0003,P093,2024-11-30,3.0,25500
PU000074,U0003,P024,2024-03-30,4.0,101100
PU000075,U0003,P076,2024-02-13,,53900
PU000076,U0003,P073,2024-07-05,,48000
PU000077,U0003,P030,2024-02-06,5.0,120900
PU000078,U0003,P050,2024-06-27,1.0,36700
PU000079,U0003,P005,2024-01-23,4.0,263000
PU000080,U0003,P069,2024-02-25,4.0,20200
PU000081,U0003,P066,2024-01-26,3.0,15500
PU000082,U0003,P016,2024-04-15,1.0,223500
PU000083,U0003,P023,2024-09-08,5.0,123700
PU000084,U0003,P080,2024-06-13,5.0,64300
